"restaurant_name","revenue","rank_position"
"Rasoi Ghar 170","3983.99","156"
"Madras Cafe 48","3973.30","157"
"Burger Factory 134","3966.39","158"
"Spice Villa 166","3960.49","159"
"Burger Factory 265","3910.64","160"
"Mughal Mahal 229","3884.01","161"
"Chai & Chat 182","3855.61","162"
"Delhi Darbar 9","3834.56","163"
"Kolkata Kitchen 70","3820.81","164"
"Bombay Bistro 211","3783.24","165"
"Biryani House 138","3755.38","166"
"The Curry Leaf 137","3752.69","167"
"Rasoi Ghar 191","3740.99","168"
"Saffron Delight 175","3732.83","169"
"Chai & Chat 173","3712.09","170"
"Chai & Chat 19","3695.50","171"
"Bombay Bistro 97","3642.03","172"
"Bombay Bistro 128","3626.21","173"
"Rasoi Ghar 157","3597.72","174"
"Annapurna Bhavan 272","3579.58","175"
"Saffron Delight 277","3569.01","176"
"Chai & Chat 294","3567.25","177"
"Chai & Chat 26","3526.20","178"
"Curry Kingdom 287","3519.96","179"
"Flavours of India 169","3514.60","180"
"Pizza Junction 20","3492.62","181"
"Golden Spoon 270","3480.85","182"
"Pizza Junction 256","3418.85","183"
"Curry Kingdom 38","3356.21","184"
"Kolkata Kitchen 204","3334.36","185"
"Pizza Junction 33","3315.90","186"
"Pizza Junction 98","3274.20","187"
"Annapurna Bhavan 32","3253.99","188"
"Spice Villa 121","3240.18","189"
"Punjabi Dhaba 190","3236.19","190"
"Delhi Darbar 18","3223.21","191"
"South Spice 185","3193.54","192"
"Caf̩ Masaledar 102","3178.59","193"
"Curry Kingdom 187","3158.65","194"
"Golden Spoon 275","3133.58","195"
"Mughal Mahal 50","3131.94","196"
"The Hungry Panda 132","3104.11","197"
"Madras Cafe 257","3090.59","198"
"Punjabi Dhaba 222","3033.72","199"
"Urban Tadka 183","3021.57","200"
"The Curry Leaf 27","3011.98","201"
"Dragon Wok 180","2978.71","202"
"Royal Tandoor 289","2965.34","203"
"Biryani House 260","2948.70","204"
"Tandoori Nights 130","2907.91","205"
"Curry Kingdom 58","2886.01","206"
"Saffron Delight 101","2842.79","207"
"Pizza Junction 264","2804.58","208"
"Caf̩ Masaledar 111","2751.31","209"
"Chutney Express 100","2671.91","210"
"Mughal Mahal 59","2670.42","211"
"Madras Cafe 141","2541.29","212"
"Taste of Punjab 160","2537.99","213"
"Madras Cafe 14","2497.60","214"
"Kolkata Kitchen 107","2430.48","215"
"Pizza Junction 62","2414.51","216"
"Bombay Bistro 8","2413.97","217"
"The Hungry Panda 125","2406.89","218"
"Masala Magic 281","2402.89","219"
"Taste of Punjab 108","2370.37","220"
"The Hungry Panda 119","2351.15","221"
"Golden Spoon 171","2344.38","222"
"The Food Studio 43","2340.54","223"
"Taste of Punjab 266","2326.38","224"
"Caf̩ Masaledar 105","2319.20","225"
"The Curry Leaf 202","2240.95","226"
"South Spice 123","2214.87","227"
"Flavours of India 163","2191.06","228"
"Golden Spoon 149","2187.62","229"
"Bombay Bistro 87","2173.56","230"
"Dragon Wok 139","2166.93","231"
"Saffron Delight 45","2156.65","232"
"Taste of Punjab 110","2119.91","233"
"Madras Cafe 6","2118.71","234"
"Masala Magic 37","2106.12","235"
"South Spice 227","2027.60","236"
"Curry Kingdom 210","2011.78","237"
"Annapurna Bhavan 194","1961.99","238"
"Tandoori Nights 247","1931.03","239"
"Delhi Darbar 299","1896.28","240"
"Pizza Junction 129","1893.42","241"
"Punjabi Dhaba 11","1793.83","242"
"Biryani House 64","1786.42","243"
"Taste of Punjab 231","1766.74","244"
"Royal Tandoor 72","1733.92","245"
"Chai & Chat 1","1717.38","246"
"Dragon Wok 7","1711.98","247"
"Golden Spoon 208","1646.62","248"
"Delhi Darbar 39","1623.49","249"
"The Curry Leaf 192","1573.11","250"
"Mumbai Masala 15","1551.49","251"
"Punjabi Dhaba 23","1520.27","252"
"Chai & Chat 258","1518.01","253"
"Madras Cafe 298","1506.74","254"
"Chai & Chat 82","1417.69","255"
"The Curry Leaf 29","1404.45","256"
"Caf̩ Masaledar 165","1361.67","257"
"Curry Kingdom 144","1320.03","258"
"Kolkata Kitchen 178","1300.14","259"
"The Hungry Panda 75","1283.28","260"
"Burger Factory 197","1282.69","261"
"The Hungry Panda 5","1237.39","262"
"Taste of Punjab 283","1226.04","263"
"Bombay Bistro 68","1222.89","264"
"Rasoi Ghar 22","1222.36","265"
"Mumbai Masala 30","1179.97","266"
"Mughal Mahal 36","1132.54","267"
"Mughal Mahal 131","1093.48","268"
"The Food Studio 42","1058.58","269"
"Biryani House 241","1026.07","270"
"Taste of Punjab 217","1016.35","271"
"The Food Studio 153","1009.57","272"
"Mughal Mahal 279","995.29","273"
"Flavours of India 216","993.32","274"
"Urban Tadka 152","985.38","275"
"The Curry Leaf 2","955.45","276"
"The Curry Leaf 151","899.47","277"
"Biryani House 114","899.06","278"
"Chai & Chat 282","866.72","279"
"Delhi Darbar 113","813.01","280"
"Curry Kingdom 10","773.04","281"
"Tandoori Nights 246","749.84","282"
"Biryani House 76","686.56","283"
"Madras Cafe 273","608.07","284"
"Urban Tadka 262","528.24","285"
"Chutney Express 271","459.31","286"
"Curry Kingdom 116","443.71","287"
"Punjabi Dhaba 106","344.58","288"
"Bombay Bistro 189","339.61","289"
"Chai & Chat 65","319.85","290"
"Punjabi Dhaba 57","250.40","291"
"Mughal Mahal 245","213.45","292"
"Dragon Wok 224","211.11","293"
